2023.05.13 15:09:57 [3784,828c] | displayevent 0 
2023.05.13 15:09:59 [3784,828c] | disconnect 
2023.05.13 15:10:00 [3784,1006c] | thread exit 
2023.05.13 15:10:00 [3784,828c] | portclose 
2023.05.13 16:37:58 [c570,c6c8] | MONERA ZVT Terminal Library LAN 02.00 
2023.05.13 16:37:58 [c570,c6c8] | OpenSSL 1.1.1l  24 Aug 2021 
2023.05.13 16:37:58 [c570,c6c8] | protocol ctor 
2023.05.13 16:38:00 [c570,8854] | protocol ctor 
2023.05.13 16:38:00 [c570,8854] | disconnect 
2023.05.13 16:38:00 [c570,8854] | is stopped 
2023.05.13 16:38:00 [c570,8854] | SSL connect: 192.168.2.12:4050 
2023.05.13 16:38:00 [c570,8854] | start thread 
2023.05.13 16:38:00 [c570,8854] | payment 1200 
2023.05.13 16:38:01 [c570,8854] | displayevent 0 
2023.05.13 16:38:01 [c570,8854] | displayevent 1 
2023.05.13 16:38:31 [c570,8854] | disconnect 
2023.05.13 16:38:31 [c570,7254] | thread exit 
2023.05.13 16:38:31 [c570,8854] | portclose 
2023.05.13 16:40:36 [f7a4,db0c] | MONERA ZVT Terminal Library LAN 02.00 
2023.05.13 16:40:36 [f7a4,db0c] | OpenSSL 1.1.1l  24 Aug 2021 
2023.05.13 16:40:36 [f7a4,db0c] | protocol ctor 
2023.05.13 16:40:38 [f7a4,db0c] | protocol ctor 
